x y z value
-2 -1.6 0.2 0.996965
-2 -1.6 0.3 0.99321
-2 -1.6 0.4 0.988024
-2 -1.6 0.5 0.981473
-2 -1.6 0.6 0.973641
-2 -1.6 0.7 0.964622
-2 -1.6 0.8 0.954521
-2 -1.6 0.9 0.943448
-2 -1.6 1 0.931518
-2 -1.6 1.1 0.918843
-2 -1.6 1.2 0.905539
-2 -1.6 1.3 0.891713
-2 -1.6 1.4 0.87747
-2 -1.6 1.5 0.862907
-2 -1.6 1.6 0.848115
-2 -1.6 1.7 0.833175
-2 -1.6 1.8 0.818161
-2 -1.6 1.9 0.80314
-2 -1.5 -2 -0.780869
-2 -1.5 -1.9 -0.796162
-2 -1.5 -1.8 -0.811534
-2 -1.5 -1.7 -0.826927
-2 -1.5 -1.6 -0.842271
-2 -1.5 -1.5 -0.857493
-2 -1.5 -1.4 -0.872506
-2 -1.5 -1.3 -0.887217
-2 -1.5 -1.2 -0.901523
-2 -1.5 -1.1 -0.915315
-2 -1.5 -1 -0.928477
-2 -1.5 -0.9 -0.940887
-2 -1.5 -0.8 -0.952424
-2 -1.5 -0.7 -0.962964
-2 -1.5 -0.6 -0.972387
-2 -1.5 -0.5 -0.980581
-2 -1.5 -0.4 -0.987441
-2 -1.5 -0.3 -0.992877
-2 -1.5 -0.2 -0.996815
-2 -1.5 -0.1 -0.999201
-2 -1.5 1.77636e-15 1
-2 -1.5 0.1 0.999201
-2 -1.5 0.2 0.996815
-2 -1.5 0.3 0.992877
-2 -1.5 0.4 0.987441
-2 -1.5 0.5 0.980581
-2 -1.5 0.6 0.972387
-2 -1.5 0.7 0.962964
-2 -1.5 0.8 0.952424
-2 -1.5 0.9 0.940887
-2 -1.5 1 0.928477
-2 -1.5 1.1 0.915315
-2 -1.5 1.2 0.901523
-2 -1.5 1.3 0.887217
-2 -1.5 1.4 0.872506
-2 -1.5 1.5 0.857493
-2 -1.5 1.6 0.842271
-2 -1.5 1.7 0.826927
-2 -1.5 1.8 0.811534
-2 -1.5 1.9 0.796162
-2 -1.4 -2 -0.773559
-2 -1.4 -1.9 -0.789164
-2 -1.4 -1.8 -0.804876
-2 -1.4 -1.7 -0.820638
-2 -1.4 -1.6 -0.836379
-2 -1.4 -1.5 -0.852023
-2 -1.4 -1.4 -0.867482
-2 -1.4 -1.3 -0.882658
-2 -1.4 -1.2 -0.897444
-2 -1.4 -1.1 -0.911724
-2 -1.4 -1 -0.925377
-2 -1.4 -0.9 -0.938272
-2 -1.4 -0.8 -0.950279
-2 -1.4 -0.7 -0.961265
-2 -1.4 -0.6 -0.971101
-2 -1.4 -0.5 -0.979664
-2 -1.4 -0.4 -0.986842
-2 -1.4 -0.3 -0.992534
-2 -1.4 -0.2 -0.996661
-2 -1.4 -0.1 -0.999162
-2 -1.4 1.77636e-15 1
-2 -1.4 0.1 0.999162
-2 -1.4 0.2 0.996661
-2 -1.4 0.3 0.992534
-2 -1.4 0.4 0.986842
-2 -1.4 0.5 0.979664
-2 -1.4 0.6 0.971101
-2 -1.4 0.7 0.961265
-2 -1.4 0.8 0.950279
-2 -1.4 0.9 0.938272
-2 -1.4 1 0.925377
-2 -1.4 1.1 0.911724
-2 -1.4 1.2 0.897444
-2 -1.4 1.3 0.882658
-2 -1.4 1.4 0.867482
-2 -1.4 1.5 0.852023
-2 -1.4 1.6 0.836379
-2 -1.4 1.7 0.820638
-2 -1.4 1.8 0.804876
-2 -1.4 1.9 0.789164
-2 -1.3 -2 -0.766292
-2 -1.3 -1.9 -0.782194
-2 -1.3 -1.8 -0.798234
-2 -1.3 -1.7 -0.814353
-2 -1.3 -1.6 -0.83048
-2 -1.3 -1.5 -0.846537
-2 -1.3 -1.4 -0.862433
-2 -1.3 -1.3 -0.878068
-2 -1.3 -1.2 -0.893329
-2 -1.3 -1.1 -0.908096
-2 -1.3 -1 -0.922238
-2 -1.3 -0.9 -0.93562
-2 -1.3 -0.8 -0.9481
-2 -1.3 -0.7 -0.959537
-2 -1.3 -0.6 -0.969792
-2 -1.3 -0.5 -0.97873
-2 -1.3 -0.4 -0.98623
-2 -1.3 -0.3 -0.992184
-2 -1.3 -0.2 -0.996503
-2 -1.3 -0.1 -0.999122
-2 -1.3 1.77636e-15 1
-2 -1.3 0.1 0.999122
-2 -1.3 0.2 0.996503
-2 -1.3 0.3 0.992184
-2 -1.3 0.4 0.98623
-2 -1.3 0.5 0.97873
-2 -1.3 0.6 0.969792
-2 -1.3 0.7 0.959537
-2 -1.3 0.8 0.9481
-2 -1.3 0.9 0.93562
-2 -1.3 1 0.922238
-2 -1.3 1.1 0.908096
-2 -1.3 1.2 0.893329
-2 -1.3 1.3 0.878068
-2 -1.3 1.4 0.862433
-2 -1.3 1.5 0.846537
-2 -1.3 1.6 0.83048
-2 -1.3 1.7 0.814353
-2 -1.3 1.8 0.798234
-2 -1.3 1.9 0.782194
-2 -1.2 -2 -0.759125
-2 -1.2 -1.9 -0.77531
-2 -1.2 -1.8 -0.791662
-2 -1.2 -1.7 -0.808122
-2 -1.2 -1.6 -0.824621
-2 -1.2 -1.5 -0.841078
-2 -1.2 -1.4 -0.8574
-2 -1.2 -1.3 -0.873483
-2 -1.2 -1.2 -0.889212
-2 -1.2 -1.1 -0.904458
-2 -1.2 -1 -0.919087
-2 -1.2 -0.9 -0.932952
-2 -1.2 -0.8 -0.945905
-2 -1.2 -0.7 -0.957794
-2 -1.2 -0.6 -0.968468
-2 -1.2 -0.5 -0.977785
-2 -1.2 -0.4 -0.985611
-2 -1.2 -0.3 -0.991829
-2 -1.2 -0.2 -0.996344
-2 -1.2 -0.1 -0.999082
-2 -1.2 1.77636e-15 1
-2 -1.2 0.1 0.999082
-2 -1.2 0.2 0.996344
-2 -1.2 0.3 0.991829
-2 -1.2 0.4 0.985611
-2 -1.2 0.5 0.977785
-2 -1.2 0.6 0.968468
-2 -1.2 0.7 0.957794
-2 -1.2 0.8 0.945905
-2 -1.2 0.9 0.932952
-2 -1.2 1 0.919087
-2 -1.2 1.1 0.904458
-2 -1.2 1.2 0.889212
-2 -1.2 1.3 0.873483
-2 -1.2 1.4 0.8574
-2 -1.2 1.5 0.841078
-2 -1.2 1.6 0.824621
-2 -1.2 1.7 0.808122
-2 -1.2 1.8 0.791662
-2 -1.2 1.9 0.77531
-2 -1.1 -2 -0.752123
-2 -1.1 -1.9 -0.768572
-2 -1.1 -1.8 -0.785218
-2 -1.1 -1.7 -0.802004
-2 -1.1 -1.6 -0.818858
-2 -1.1 -1.5 -0.835698
-2 -1.1 -1.4 -0.852431
-2 -1.1 -1.3 -0.868949
-2 -1.1 -1.2 -0.885132
-2 -1.1 -1.1 -0.900848
-2 -1.1 -1 -0.915953
-2 -1.1 -0.9 -0.930295
-2 -1.1 -0.8 -0.943715
-2 -1.1 -0.7 -0.956052
-2 -1.1 -0.6 -0.967144
-2 -1.1 -0.5 -0.976838
-2 -1.1 -0.4 -0.98499
-2 -1.1 -0.3 -0.991473
-2 -1.1 -0.2 -0.996183
-2 -1.1 -0.1 -0.999042
-2 -1.1 1.77636e-15 1
-2 -1.1 0.1 0.999042
-2 -1.1 0.2 0.996183
-2 -1.1 0.3 0.991473
-2 -1.1 0.4 0.98499
-2 -1.1 0.5 0.976838
-2 -1.1 0.6 0.967144
-2 -1.1 0.7 0.956052
-2 -1.1 0.8 0.943715
-2 -1.1 0.9 0.930295
-2 -1.1 1 0.915953
-2 -1.1 1.1 0.900848
-2 -1.1 1.2 0.885132
-2 -1.1 1.3 0.868949
-2 -1.1 1.4 0.852431
-2 -1.1 1.5 0.835698
-2 -1.1 1.6 0.818858
-2 -1.1 1.7 0.802004
-2 -1.1 1.8 0.785218
-2 -1.1 1.9 0.768572
-2 -1 -2 -0.745356
-2 -1 -1.9 -0.76205
-2 -1 -1.8 -0.778971
-2 -1 -1.7 -0.796061
-2 -1 -1.6 -0.81325
-2 -1 -1.5 -0.830455
-2 -1 -1.4 -0.847579
-2 -1 -1.3 -0.864514
-2 -1 -1.2 -0.881134
-2 -1 -1.1 -0.897303
-2 -1 -1 -0.912871
-2 -1 -0.9 -0.927677
-2 -1 -0.8 -0.941554
-2 -1 -0.7 -0.954331
-2 -1 -0.6 -0.965834
-2 -1 -0.5 -0.9759
-2 -1 -0.4 -0.984374
-2 -1 -0.3 -0.99112
-2 -1 -0.2 -0.996024
-2 -1 -0.1 -0.999001
-2 -1 1.77636e-15 1
-2 -1 0.1 0.999001
-2 -1 0.2 0.996024
-2 -1 0.3 0.99112
-2 -1 0.4 0.984374
-2 -1 0.5 0.9759
-2 -1 0.6 0.965834
-2 -1 0.7 0.954331
-2 -1 0.8 0.941554
-2 -1 0.9 0.927677
-2 -1 1 0.912871
-2 -1 1.1 0.897303
-2 -1 1.2 0.881134
-2 -1 1.3 0.864514
-2 -1 1.4 0.847579
-2 -1 1.5 0.830455
-2 -1 1.6 0.81325
-2 -1 1.7 0.796061
-2 -1 1.8 0.778971
-2 -1 1.9 0.76205
-2 -0.9 -2 -0.738898
-2 -0.9 -1.9 -0.755817
-2 -0.9 -1.8 -0.772991
-2 -0.9 -1.7 -0.790364
-2 -0.9 -1.6 -0.807865
-2 -0.9 -1.5 -0.825411
-2 -0.9 -1.4 -0.842904
-2 -0.9 -1.3 -0.860233
-2 -0.9 -1.2 -0.877268
-2 -0.9 -1.1 -0.89387
-2 -0.9 -1 -0.909881
-2 -0.9 -0.9 -0.925133
-2 -0.9 -0.8 -0.939451
-2 -0.9 -0.7 -0.952653
-2 -0.9 -0.6 -0.964556
-2 -0.9 -0.5 -0.974984
-2 -0.9 -0.4 -0.983772
-2 -0.9 -0.3 -0.990774
-2 -0.9 -0.2 -0.995868
-2 -0.9 -0.1 -0.998962
-2 -0.9 1.77636e-15 1
-2 -0.9 0.1 0.998962
-2 -0.9 0.2 0.995868
-2 -0.9 0.3 0.990774
-2 -0.9 0.4 0.983772
-2 -0.9 0.5 0.974984
-2 -0.9 0.6 0.964556
-2 -0.9 0.7 0.952653
-2 -0.9 0.8 0.939451
-2 -0.9 0.9 0.925133
-2 -0.9 1 0.909881
-2 -0.9 1.1 0.89387
-2 -0.9 1.2 0.877268
-2 -0.9 1.3 0.860233
-2 -0.9 1.4 0.842904
-2 -0.9 1.5 0.825411
-2 -0.9 1.6 0.807865
-2 -0.9 1.7 0.790364
-2 -0.9 1.8 0.772991
-2 -0.9 1.9 0.755817
-2 -0.8 -2 -0.732828
-2 -0.8 -1.9 -0.749949
-2 -0.8 -1.8 -0.767354
-2 -0.8 -1.7 -0.784985
-2 -0.8 -1.6 -0.802773
-2 -0.8 -1.5 -0.820634
-2 -0.8 -1.4 -0.838469
-2 -0.8 -1.3 -0.856164
-2 -0.8 -1.2 -0.873589
-2 -0.8 -1.1 -0.890597
-2 -0.8 -1 -0.907025
-2 -0.8 -0.9 -0.9227
-2 -0.8 -0.8 -0.937437
-2 -0.8 -0.7 -0.951043
-2 -0.8 -0.6 -0.963328
-2 -0.8 -0.5 -0.974102
-2 -0.8 -0.4 -0.983192
-2 -0.8 -0.3 -0.990441
-2 -0.8 -0.2 -0.995717
-2 -0.8 -0.1 -0.998924
-2 -0.8 1.77636e-15 1
-2 -0.8 0.1 0.998924
-2 -0.8 0.2 0.995717
-2 -0.8 0.3 0.990441
-2 -0.8 0.4 0.983192
-2 -0.8 0.5 0.974102
-2 -0.8 0.6 0.963328
-2 -0.8 0.7 0.951043
-2 -0.8 0.8 0.937437
-2 -0.8 0.9 0.9227
-2 -0.8 1 0.907025
-2 -0.8 1.1 0.890597
-2 -0.8 1.2 0.873589
-2 -0.8 1.3 0.856164
-2 -0.8 1.4 0.838469
-2 -0.8 1.5 0.820634
-2 -0.8 1.6 0.802773
-2 -0.8 1.7 0.784985
-2 -0.8 1.8 0.767354
-2 -0.8 1.9 0.749949
-2 -0.7 -2 -0.727226
-2 -0.7 -1.9 -0.744527
-2 -0.7 -1.8 -0.762138
-2 -0.7 -1.7 -0.780001
-2 -0.7 -1.6 -0.798047
-2 -0.7 -1.5 -0.816194
-2 -0.7 -1.4 -0.83434
-2 -0.7 -1.3 -0.852372
-2 -0.7 -1.2 -0.870153
-2 -0.7 -1.1 -0.887536
-2 -0.7 -1 -0.904351
-2 -0.7 -0.9 -0.920418
-2 -0.7 -0.8 -0.935545
-2 -0.7 -0.7 -0.94953
-2 -0.7 -0.6 -0.962171
-2 -0.7 -0.5 -0.973271
-2 -0.7 -0.4 -0.982645
-2 -0.7 -0.3 -0.990126
-2 -0.7 -0.2 -0.995575
-2 -0.7 -0.1 -0.998888
-2 -0.7 1.77636e-15 1
-2 -0.7 0.1 0.998888
-2 -0.7 0.2 0.995575
-2 -0.7 0.3 0.990126
-2 -0.7 0.4 0.982645
-2 -0.7 0.5 0.973271
-2 -0.7 0.6 0.962171
-2 -0.7 0.7 0.94953
-2 -0.7 0.8 0.935545
-2 -0.7 0.9 0.920418
-2 -0.7 1 0.904351
-2 -0.7 1.1 0.887536
-2 -0.7 1.2 0.870153
-2 -0.7 1.3 0.852372
-2 -0.7 1.4 0.83434
-2 -0.7 1.5 0.816194
-2 -0.7 1.6 0.798047
-2 -0.7 1.7 0.780001
-2 -0.7 1.8 0.762138
-2 -0.7 1.9 0.744527
-2 -0.6 -2 -0.722171
-2 -0.6 -1.9 -0.739629
-2 -0.6 -1.8 -0.757419
-2 -0.6 -1.7 -0.775486
-2 -0.6 -1.6 -0.793762
-2 -0.6 -1.5 -0.812162
-2 -0.6 -1.4 -0.830586
-2 -0.6 -1.3 -0.848918
-2 -0.6 -1.2 -0.86702
-2 -0.6 -1.1 -0.88474
-2 -0.6 -1 -0.901905
-2 -0.6 -0.9 -0.918328
-2 -0.6 -0.8 -0.933809
-2 -0.6 -0.7 -0.94814
-2 -0.6 -0.6 -0.961108
-2 -0.6 -0.5 -0.972507
-2 -0.6 -0.4 -0.982141
-2 -0.6 -0.3 -0.989836
-2 -0.6 -0.2 -0.995444
-2 -0.6 -0.1 -0.998855
-2 -0.6 1.77636e-15 1
-2 -0.6 0.1 0.998855
-2 -0.6 0.2 0.995444
-2 -0.6 0.3 0.989836
-2 -0.6 0.4 0.982141
-2 -0.6 0.5 0.972507
-2 -0.6 0.6 0.961108
-2 -0.6 0.7 0.94814
-2 -0.6 0.8 0.933809
-2 -0.6 0.9 0.918328
-2 -0.6 1 0.901905
-2 -0.6 1.1 0.88474
-2 -0.6 1.2 0.86702
-2 -0.6 1.3 0.848918
-2 -0.6 1.4 0.830586
-2 -0.6 1.5 0.812162
-2 -0.6 1.6 0.793762
-2 -0.6 1.7 0.775486
-2 -0.6 1.8 0.757419
-2 -0.6 1.9 0.739629
-2 -0.5 -2 -0.717741
-2 -0.5 -1.9 -0.735332
-2 -0.5 -1.8 -0.753275
-2 -0.5 -1.7 -0.771517
-2 -0.5 -1.6 -0.789989
-2 -0.5 -1.5 -0.808608
